obfuscation;data_size;none;none_samples;none_median;none_std;none_std_mean;sc_guard;sc_samples;sc_median;sc_std;sc_std_mean;oh_verify;oh_vsamples;oh_median;oh_std;oh_std_mean;cfi_register;cfi_rsamples;cfir_median;cfir_std;cfir_std_mean;cfi_verify;cfi_vsamples;cfiv_median;cfiv_std;cfiv_std_mean
sbb;68822;0.9860102163924327;17587;0.9859870261326744;0.017299463393461844;7.145184203063675e-05;0.9518636448773178;819;0.947915548427524;0.14340683304129576;0.0027446598008351005;0.9227587190642609;2009;0.9293601436603508;0.04378994703115674;0.0005351391165880843;0.6644518272425248;58;0.7520791415157612;0.3301675937507893;0.02780512733511372;0.7823741007194246;174;0.7996439880748061;0.14677441336084718;0.0060944757939013685
sbb-BCF;221350;0.9917040218401375;62125;0.9917704690837983;0.010112998983909792;2.2223312241854697e-05;0.9123511307373209;1187;0.8939108741161749;0.1910967069626276;0.0030494586766366388;0.8974268177525969;2629;0.8968784982542507;0.07095804489225335;0.0007579672765976524;0.043243243243243246;109;0.4474426807760141;0.12049895903721586;0.02363179013455313;0.7088107467404188;355;0.7581008279745521;0.1417695627542012;0.004121835236549248
sbb-BCF-FLA;192704;0.9893172943130302;53527;0.9893628203136078;0.011615535338163722;2.7499189704155886e-05;0.9223511411449701;1201;0.9095781828997378;0.1779683702611975;0.0028132237894117162;0.8676114014763727;2666;0.8710669787510223;0.06036243451508575;0.000640308337993727;0.07936507936507936;107;0.3252415458937198;0.22355715141470406;0.02711028672485369;0.7939001848428834;311;0.8205886598696411;0.1716860625567723;0.005336602628067916
sbb-BCF-FLA-SUB;180849;0.9880333079911642;50119;0.9881042932797403;0.0120789609903428;2.9552262825046267e-05;0.9207080155418046;1078;0.9020392219111906;0.19152712454137485;0.003196116387933185;0.8611810054071416;2667;0.8663260231830829;0.06293432131965447;0.0006674775645733117;N/A;102;nan;nan;nan;0.6801223241590214;289;0.6859724942258271;0.15212796565502992;0.004907353730807417
sbb-BCF-SUB;296047;0.9937744086573799;84513;0.9938422984289831;0.009781851045590926;1.8429868052001244e-05;0.9023394994559304;1175;0.8748540790297209;0.22971630523393524;0.0036751080902995676;0.9022599849719669;2642;0.9058447099064901;0.06838157394006875;0.0007289086133917185;0.1822222222222222;121;0.3281894724507355;0.16814571416527185;0.01207215873215631;0.6705783738474435;364;0.7121593109969512;0.1503099840924902;0.0043157614200387264
sbb-BCF-SUB-FLA;188594;0.9885212539729723;52419;0.9885663036098616;0.011633398456590045;2.7830778219459058e-05;0.9218683045279246;1086;0.9073594045226892;0.18689465260335492;0.0031071526806739874;0.8523301516002247;2667;0.856536922941463;0.06144676623634607;0.0006518839915389691;0.02185792349726776;108;0.13885714285714287;0.08181811585237497;0.011688302264624997;0.7619934792734047;299;0.8002961323647065;0.15798529223647695;0.005005955545822599
sbb-FLA;98559;0.9888933706773624;26480;0.9888859630753448;0.011683538103233172;3.932647648484327e-05;0.9544175576814856;819;0.9490759642736931;0.14064138203504106;0.002691731903000131;0.9061195613724797;2024;0.9121277941993166;0.05586843652673959;0.0006803113820184874;0.0792079207920792;58;0.3555555555555555;0.1257078722109418;0.02124850861038922;0.8257522743177047;187;0.8624050612660389;0.13577544738020947;0.005444099450639215
sbb-FLA-BCF;384512;0.9953936805665086;111157;0.9954049563651904;0.005228093824227708;8.588899978248638e-06;0.9233370913190531;1114;0.9061774075994187;0.18113906620416;0.0029726901900719543;0.8695452193411143;2669;0.8732340270284397;0.07356285685150955;0.0007798961773526123;0.5745454545454545;103;0.6357616591622871;0.3226289455202797;0.01970769950373662;0.8172635445362718;311;0.8594233124045729;0.1477174363495696;0.004589357442941461
sbb-FLA-BCF-SUB;335719;0.9943728292034779;96508;0.9943878793641402;0.005362552706023419;9.454750945707576e-06;0.9203247557451494;1129;0.9107501673809648;0.16731509435310477;0.002739559307742818;0.8728748491828452;2668;0.8753729502306611;0.06719194084559658;0.000712874222569279;0.03144654088050314;94;0.4100250626566416;0.09986139979479093;0.023537557657892526;0.7949438202247191;317;0.8345375655242573;0.14178373611861492;0.00436516019561885
sbb-FLA-SUB;98480;0.9895317928575881;26455;0.9895505442258254;0.011000338729769417;3.7043637333130516e-05;0.951895868704018;819;0.9395056807508413;0.14560201965388367;0.002786673422662775;0.9119316088142089;2025;0.9162310415051341;0.058017972138861604;0.000706276909838298;0.1990950226244344;58;0.41549206349206347;0.2487338681462847;0.028914724847622083;0.813986013986014;187;0.8576134349256398;0.15422531165665027;0.006183871610553158
